External ID,Module,Name,State,Priority,Depends On,OWASP,Acceptance Criteria
GUARD-0107,1 Persistent supervisor kernel,Separate health from readiness,In Review,Medium,GUARD-0101,ASI08,"Health reports process state; readiness requires policy and delegation verifier"
GUARD-0108,1 Persistent supervisor kernel,Prove sensitive sidecar-outage paths fail closed,In Review,Urgent,GUARD-0105;GUARD-0402,ASI02;ASI03;ASI05;ASI10,"Destructive, credential, cross-tenant, external-send, and sensitive-model operations do not dispatch"
GUARD-0109,1 Persistent supervisor kernel,Add named-pipe and optional mTLS transports,In Review,Low,GUARD-0101;GUARD-0003,ASI03;ASI07,"Windows named pipe and authenticated private TCP pass the same conformance suite"
GUARD-0201,2 Agent configuration and operator experience,Define declarative agent manifest v1,In Review,Urgent,GUARD-0002;GUARD-0004,ASI02;ASI03;ASI06;ASI07,"Manifest binds identity, tenant, capabilities, data, models, destinations, fail modes, approvals, and adapters"
GUARD-0202,2 Agent configuration and operator experience,Implement guard validate and canonical compile,In Review,High,GUARD-0201;GUARD-0003,ASI03;ASI04,"Unknown or ambiguous configuration fails; output is deterministic and inspectable"
GUARD-0203,2 Agent configuration and operator experience,Implement workload identity bootstrap,In Review,Urgent,GUARD-0201;GUARD-0302,ASI03;ASI07,"Sidecar verifies local workload identity and binds it to every request"
GUARD-0204,2 Agent configuration and operator experience,Implement capability inventory and bypass report,In Review,Urgent,GUARD-0004;GUARD-0201,ASI02;ASI04;ASI05,"Direct sensitive routes appear as explicit unenforced capability frontiers"
GUARD-0205,2 Agent configuration and operator experience,Implement local key and secret references,In Review,High,GUARD-0201,ASI03;ASI04,"Manifest contains references only; permissions and rotation are validated"
GUARD-0206,2 Agent configuration and operator experience,Implement guard explain effective authority,In Review,Medium,GUARD-0202;GUARD-0303,ASI02;ASI03;ASI09,"Operator can inspect rule provenance and reasons without raw sensitive content"
GUARD-0207,2 Agent configuration and operator experience,Publish TypeScript and Python quickstarts,In Review,Medium,GUARD-0202;GUARD-0802;GUARD-0803,ASI01;ASI02;ASI03,"Fresh sample agents integrate without holding gateway credentials"
GUARD-0301,3 Signed policy control plane,Implement crash-safe signed policy store,In Review,Urgent,GUARD-0003;GUARD-0007,ASI03;ASI04;ASI10,"Unsigned, tampered, expired, or discontinuous revisions are rejected"
GUARD-0302,3 Signed policy control plane,Implement signature and signer authorization verification,In Review,Urgent,GUARD-0301,ASI03;ASI04;ASI10,"Only authorized signers can propose or approve scoped revisions"
GUARD-0303,3 Signed policy control plane,Implement five-layer deterministic evaluation,In Review,Urgent,GUARD-0301,ASI02;ASI03;ASI10,"Fixed, organization, tenant, agent, and adaptive layers honor restrictive precedence"
GUARD-0304,3 Signed policy control plane,Implement atomic activation,In Review,Urgent,GUARD-0301;GUARD-0303,ASI08;ASI10,"Readers observe either old or new complete snapshot, never partial policy"
GUARD-0305,3 Signed policy control plane,Implement revision history and last-known-good cache,In Review,High,GUARD-0301,ASI08;ASI10,"Restart and control-plane outage restore the last verified policy"
GUARD-0306,3 Signed policy control plane,Implement exact rollback,In Review,Urgent,GUARD-0304;GUARD-0305,ASI08;ASI10,"Rollback restores byte-identical bundle and decision parity under replay"
GUARD-0307,3 Signed policy control plane,Enforce tightening-only adaptive overlays and TTL,In Review,Urgent,GUARD-0303,ASI03;ASI10,"Overlay cannot allow, expand selectors, remove approval, increase depth, or change tenant"
GUARD-0308,3 Signed policy control plane,Expose Guard feature and capability manifest,In Review,Medium,GUARD-0303;GUARD-0204,ASI02;ASI04,"Recon and Forge can compare configured policy to available enforcement features"
GUARD-0401,4 Capability and approval gateway,Implement protected capability registry,In Review,Urgent,GUARD-0201;GUARD-0303,ASI02;ASI03;ASI05,"Each operation declares resource type, operation class, receipt requirement, and fail mode"
GUARD-0402,4 Capability and approval gateway,Issue signed single-use short-lived execution tokens,In Review,Urgent,GUARD-0401;GUARD-0302,ASI02;ASI03;ASI05;ASI10,"Tokens bind exact normalized request and fail replay, expiry, or mutation"
GUARD-0403,4 Capability and approval gateway,Build credential-isolating capability gateway,In Review,Urgent,GUARD-0402,ASI02;ASI03;ASI05,"Agent lacks protected credentials and downstream verifies Guard token"
GUARD-0404,4 Capability and approval gateway,Implement approval challenge issuance,In Review,High,GUARD-0303;GUARD-0401,ASI02;ASI03;ASI09,"Challenge binds identity, action, resource, normalized args, policy revision, and request"
GUARD-0405,4 Capability and approval gateway,Implement atomic approval consumption,In Review,Urgent,GUARD-0404;GUARD-0402,ASI02;ASI03;ASI09,"Expiry, max-use, replay, role mismatch, and argument mutation are rejected atomically"
GUARD-0406,4 Capability and approval gateway,Generate decision and execution receipts,In Review,Urgent,GUARD-0402;GUARD-0403,ASI02;ASI03;ASI08;ASI10,"Receipt proves dispatch and outcome or non-dispatch; decision alone never claims execution"
GUARD-0407,4 Capability and approval gateway,Proxy MCP clients and servers through Guard,In Review,High,GUARD-0403;GUARD-0406,ASI02;ASI04;ASI05,"Tool discovery and invocation preserve identity, provenance, authorization, and receipts"
GUARD-0408,4 Capability and approval gateway,Broker sensitive filesystem and network egress,In Review,High,GUARD-0403;GUARD-0204,ASI02;ASI05;ASI10,"Supported sensitive paths cannot bypass Guard using direct file or network access"
GUARD-0501,5 Full information-flow supervision,Enforce structured context composition,In Review,Urgent,GUARD-0103;GUARD-0303,ASI01;ASI06,"Trusted instructions remain separate from untrusted evidence through model request"
GUARD-0502,5 Full information-flow supervision,Implement deterministic redaction and quarantine,In Review,High,GUARD-0104;GUARD-0501,ASI01;ASI06,"Transformations are deterministic, scoped, traceable, and use content-decision contracts"
GUARD-0503,5 Full information-flow supervision,Implement buffered egress enforcement,In Review,Urgent,GUARD-0102;GUARD-0303,ASI01;ASI02;ASI09,"Sensitive output is not released before content and destination approval"
GUARD-0504,5 Full information-flow supervision,Supervise memory reads and writes,In Review,Urgent,GUARD-0501;GUARD-0503,ASI06,"Memory content retains provenance, authority limits, tenant, TTL, and integrity metadata"
GUARD-0505,5 Full information-flow supervision,Supervise inter-agent delegation and messages,In Review,Urgent,GUARD-0402;GUARD-0501,ASI03;ASI07;ASI08,"Authenticated messages bind sender, recipient, tenant, purpose, capability, depth, and expiry"
GUARD-0506,5 Full information-flow supervision,Supervise external tool arguments and destinations,In Review,High,GUARD-0403;GUARD-0503,ASI02;ASI05,"URLs, recipients, webhook payloads, and tool arguments are destination-aware before dispatch"
GUARD-0507,5 Full information-flow supervision,Implement local encrypted evidence retention and authorization,In Review,Medium,GUARD-0106;GUARD-0205,ASI03;ASI06,"Raw evidence is local, encrypted, quota-bound, retention-limited, and separately authorized"
GUARD-0508,5 Full information-flow supervision,Enforce tenant and data-class model routing,In Review,High,GUARD-0501;GUARD-0303,ASI03;ASI06,"Disallowed model, provider, or region requests fail before content leaves the workload"
GUARD-0601,6 OWASP Agentic Top 10 assurance,Build ASI01 goal-hijack attack and utility suite,In Review,Urgent,GUARD-0501;GUARD-0503,ASI01,"Hidden and gradual goal changes are blocked without breaking represented legitimate retrieval"
GUARD-0602,6 OWASP Agentic Top 10 assurance,Build ASI02 tool-misuse and argument-confusion suite,In Review,Urgent,GUARD-0403;GUARD-0506,ASI02,"Unauthorized and policy-invalid tool use cannot dispatch and has receipt evidence"
GUARD-0603,6 OWASP Agentic Top 10 assurance,Build ASI03 identity and privilege abuse suite,In Review,Urgent,GUARD-0203;GUARD-0405,ASI03,"Spoofing, expired delegation, cross-tenant substitution, and approval replay fail closed"
GUARD-0604,6 OWASP Agentic Top 10 assurance,Build ASI04 supply-chain inventory and attestation suite,In Review,High,GUARD-0204;GUARD-0302;GUARD-0407,ASI04,"Unknown, changed, or unsigned adapters, MCP servers, models, and policies are detected or denied"
GUARD-0605,6 OWASP Agentic Top 10 assurance,Build ASI05 unexpected-code-execution suite,In Review,Urgent,GUARD-0408;GUARD-0506,ASI05,"Shell, template, deserialization, MCP, and indirect execution paths require mediated capability"
GUARD-0606,6 OWASP Agentic Top 10 assurance,Build ASI06 memory and context poisoning suite,In Review,Urgent,GUARD-0501;GUARD-0504,ASI06,"Poisoned memory and retrieval cannot become trusted authority or cross tenant boundaries"
GUARD-0607,6 OWASP Agentic Top 10 assurance,Build ASI07 inter-agent communication suite,In Review,High,GUARD-0505,ASI07,"Spoofing, replay, capability laundering, and delegation-depth abuse are denied"
GUARD-0608,6 OWASP Agentic Top 10 assurance,Build ASI08 cascading-failure containment suite,In Review,High,GUARD-0505;GUARD-0406,ASI08,"Rate, budget, circuit-breaker, idempotency, and rollback controls bound downstream impact"
GUARD-0609,6 OWASP Agentic Top 10 assurance,Build ASI09 human-trust exploitation suite,In Review,High,GUARD-0404;GUARD-0503,ASI09,"Approval UI exposes provenance, exact effect, uncertainty, destination, and irreversible impact"
GUARD-0610,6 OWASP Agentic Top 10 assurance,Build ASI10 rogue-agent containment suite,In Review,Urgent,GUARD-0307;GUARD-0408,ASI10,"Agent cannot self-grant, disable Guard, bypass egress, conceal dispatch, or persist unauthorized authority"
GUARD-0611,6 OWASP Agentic Top 10 assurance,Close Agent Memory Guard benchmark detection gaps,In Review,High,GUARD-0104,ASI01;ASI06,"Role override, AWS/GitHub/Google secrets, card, SSN, and size anomalies meet agreed recall and FP gates"
GUARD-0612,6 OWASP Agentic Top 10 assurance,Automate head-to-head AMG regression benchmark,In Review,Medium,GUARD-0611;GUARD-0701,ASI01;ASI06,"Pinned corpus reports recall, precision, F1, latency, utility, and architectural non-equivalence"
GUARD-0701,7 Simulation and Forge integration,Implement deterministic telemetry replay engine,In Review,High,GUARD-0106;GUARD-0305,ASI01;ASI02;ASI06;ASI08,"Recorded traces replay without raw export and reproduce current decisions"
GUARD-0702,7 Simulation and Forge integration,Implement current-versus-proposed policy comparison,In Review,High,GUARD-0701;GUARD-0303,ASI08;ASI10,"Report changed attack and utility decisions with reason-code deltas"
GUARD-0703,7 Simulation and Forge integration,Build malicious and legitimate utility trace suites,In Review,High,GUARD-0601;GUARD-0610,ASI01;ASI02;ASI06;ASI09,"Every proposal is evaluated against attacks and legitimate tasks"
GUARD-0704,7 Simulation and Forge integration,Expose Forge policy-only API,In Review,Urgent,GUARD-0006;GUARD-0702,ASI03;ASI10,"API permits query, propose, simulate, approval request, rollout, observe, and rollback only"
GUARD-0705,7 Simulation and Forge integration,Implement shadow and canary rollout,In Review,High,GUARD-0304;GUARD-0702,ASI08;ASI10,"Scoped activation is atomic and emits safety and utility metrics"
GUARD-0706,7 Simulation and Forge integration,Implement authorized automatic rollback criteria,In Review,Urgent,GUARD-0306;GUARD-0705,ASI08;ASI10,"Configured regression threshold returns canary to last-known-good within one second"
GUARD-0801,8 Framework adapters,Create shared adapter conformance suite,In Review,Urgent,GUARD-0003;GUARD-0406;GUARD-0503,ASI01;ASI02;ASI03;ASI07,"All adapters preserve identity, tenant, provenance, approvals, fail modes, and receipts"
GUARD-0802,8 Framework adapters,Build TypeScript SDK and tool dispatcher,In Review,High,GUARD-0801,ASI02;ASI03,"Typed guarded handles support approval suspension and receipt propagation"
GUARD-0803,8 Framework adapters,Build Python SDK and decorators,In Review,High,GUARD-0801,ASI02;ASI03,"Async and sync integrations match Rust policy outcomes and fail modes"
GUARD-0804,8 Framework adapters,Build OpenAI Agents SDK adapter,In Review,High,GUARD-0802;GUARD-0803,ASI01;ASI02;ASI06,"Input, model, tool, handoff, and output hooks pass conformance"
GUARD-0805,8 Framework adapters,Build LangGraph and LangChain adapter,In Review,High,GUARD-0802;GUARD-0803,ASI02;ASI06;ASI07,"Graph state, checkpoints, tools, and handoffs preserve provenance"
GUARD-0806,8 Framework adapters,Build CrewAI adapter,In Review,Medium,GUARD-0803,ASI03;ASI07,"Crew roles, delegation, tasks, and tools map to Guard authority"
GUARD-0807,8 Framework adapters,Build MCP adapter and Guard proxy packages,In Review,High,GUARD-0407;GUARD-0801,ASI02;ASI04;ASI05,"Discovery and calls cannot omit Guard identity or token semantics"
GUARD-0808,8 Framework adapters,Build generic OpenAI-compatible model client,In Review,Medium,GUARD-0801;GUARD-0501;GUARD-0503,ASI01;ASI06,"Structured request and buffered response supervision work across compatible providers"
GUARD-0809,8 Framework adapters,Build generic HTTP and webhook gateway,In Review,Medium,GUARD-0403;GUARD-0506,ASI02;ASI03,"Inbound and outbound HTTP retain destination, tenant, provenance, and receipts"
GUARD-0901,9 Production hardening and operations,Fuzz parsers contracts tokens approvals and policy,In Review,High,GUARD-0307;GUARD-0406;GUARD-0502,ASI01;ASI03;ASI05,"No panic, unsafe acceptance, or invariant bypass under maintained fuzz corpora"
GUARD-0902,9 Production hardening and operations,Add policy and authority property tests,In Review,Urgent,GUARD-0307;GUARD-0405,ASI02;ASI03;ASI10,"Properties prove monotonic tightening, tenant isolation, single use, and deterministic precedence"
GUARD-0903,9 Production hardening and operations,Test crash recovery disk pressure and backpressure,In Review,High,GUARD-0305;GUARD-0507,ASI08,"No corrupt activation or false receipt; bounded queue honors policy under quota exhaustion"
GUARD-0904,9 Production hardening and operations,Meet local latency and load targets,In Review,High,GUARD-0406;GUARD-0503,ASI08,"Action, identity, inspection, activation, and rollback p95 targets pass documented load profile"
GUARD-0905,9 Production hardening and operations,Run multi-tenant isolation test program,In Review,Urgent,GUARD-0603;GUARD-0508,ASI03;ASI06;ASI07,"Cross-tenant substitutions fail on every ingress, context, action, memory, and egress path"
GUARD-0906,9 Production hardening and operations,Ship signed distributions and managed service lifecycle,In Review,High,GUARD-0205;GUARD-0302;GUARD-0109,ASI04;ASI10,"Install, upgrade, start, stop, health, and rollback verify signed artifacts on supported platforms"
GUARD-0907,9 Production hardening and operations,Test policy and protocol upgrade compatibility,In Review,High,GUARD-0003;GUARD-0306,ASI04;ASI08,"N-1 upgrade and rollback preserve enforcement or fail closed with explicit migration"
GUARD-0908,9 Production hardening and operations,Complete independent end-to-end security assessment,Backlog,Urgent,GUARD-0901;GUARD-0907,ASI01;ASI02;ASI03;ASI04;ASI05;ASI06;ASI07;ASI08;ASI09;ASI10,"Independent review finds no unmitigated fail-open sensitive path and validates receipt claims"
GUARD-0909,9 Production hardening and operations,Publish production SLOs dashboards and runbooks,In Review,Medium,GUARD-0903;GUARD-0904,ASI08,"Operators can distinguish availability, readiness, policy drift, queue pressure, bypass, and rollback"
